"id","BusinessName","DesignatedAgent","CredentialTypePrefix","CredentialNumber","LicenseFirstIssueDate","LicenseLastRenewedDate","LicenseExpirationDate","Attention","AddressLine1","AddressLine2","City","State","County","ZipCode","Description","Managed","Units","ManagementCompany"
"159","330 West Pacific Condominium Owners Association, Inc.","Michael GARRETT Brafford","HOA","53026","07/23/2018","12/27/2023","12/26/2024","330 West Pacific Street","330 W Pacific Ave","","Telluride","CO","","81435","Active","Professionally Managed","2","Catapult Consulting, LLC"
"177","417 Depot Condominium Association, Inc.","Judi Balkind","HOA","23014","02/08/2011","02/23/2024","02/22/2025","","417 Depot Avenue","P. O. Box 3071","Telluride","CO","","81435","Active","Professionally Managed","2","Jarmik Property Management"
"178","417 Depot Condominium Association, Inc.","Judi Balkind","HOA","23014","02/08/2011","02/23/2024","02/22/2025","","417 Depot Avenue","P. O. Box 3071","Telluride","CO","","81435","Active","Professionally Managed","2","Jarmik Property Management Inc."
"179","417 Depot Condominium Association, Inc.","Judi Balkind","HOA","23014","02/08/2011","02/23/2024","02/22/2025","","417 Depot Avenue","P. O. Box 3071","Telluride","CO","","81435","Active","Professionally Managed","2","Jarmik Property Management, Inc."
"180","417 Depot Condominium Association, Inc.","Judi Balkind","HOA","23014","02/08/2011","02/23/2024","02/22/2025","","417 Depot Avenue","P. O. Box 3071","Telluride","CO","","81435","Active","Professionally Managed","2","JARMIK PROPERTY MGMT INC"
"195","4820 Riverbend Condo Association","Lynda Gibbons","HOA","29868","04/09/2015","04/10/2024","04/09/2025","","4820 Riverbend Rd","","Boulder","CO","","80303","Active","Professionally Managed","2","Gibbons-White, Inc"
"196","4820 Riverbend Condo Association","Lynda Gibbons","HOA","29868","04/09/2015","04/10/2024","04/09/2025","","4820 Riverbend Rd","","Boulder","CO","","80303","Active","Professionally Managed","2","Gibbons-White, Inc."
"197","4872 Endeavor Condominium Association ","Jeni J Parker","HOA","54164","06/01/2020","06/25/2024","06/24/2025","","4872 Endeavor Drive","","Johnstown","CO","","80534","Active","Professionally Managed","2","Mountain-n-Plains Inc"
"198","4872 Endeavor Condominium Association ","Jeni J Parker","HOA","54164","06/01/2020","06/25/2024","06/24/2025","","4872 Endeavor Drive","","Johnstown","CO","","80534","Active","Professionally Managed","2","Mountain-n-Plains, Inc."
"250","792 Mahoney Drive Condominium Owners Association, Inc.","Thomas G Kennedy","HOA","54109","05/04/2020","05/05/2024","05/04/2025","","6400 Telegraph Rd","","Bloomfield Township","MI","","48301-1728","Active","Self-Managed","2","The Law Offices of Thomas G. Kennedy, P.C."
"726","Austria Haus Condominium Association","Laura Anne Warren","HOA","23627","02/10/2011","02/15/2024","02/15/2025","","242 East Meadow Drive","","Vail","CO","","81657","Active","Professionally Managed","2",""
"781","Bailey & Peterson, P.C.","Bailey & Peterson, P.C.","HOA","56684","08/02/2023","08/02/2023","08/02/2024","Bailey & Peterson, P.C.","7991 Shaffer Pkwy","","Littleton","CO","","80127-3736","Active","Self-Managed","2",""
"1042","Bespoke Uptown Condominium Association, Inc.","Shannon Cavanaugh","HOA","54944","05/10/2021","06/08/2024","06/07/2025","","1225 17th St","","Denver","CO","","80202-5534","Active","Self-Managed","2",""
"1855","Centerra Flex Two, LLC","Rachel Leigh Auldridge","HOA","51235","06/02/2016","06/07/2024","06/06/2025","Tom Flock","2725 Rocky Mountain Ave","","Loveland","CO","","80538","Active","Professionally Managed","2","McWhinney Real Estate Services"
"1976","Chateau Chillon Townhomes Association, Inc.","Lyle Krug","HOA","26807","02/28/2011","09/23/2023","09/22/2024","Lyle A. Krug","1705 River Queen Lane 1707 River Queen Lane","","Steamboat Springs","CO","","80487","Active","Self-Managed","2",""
"3006","Diamond Condominiums Association, Inc.","Dan W Corson","HOA","27496","03/01/2011","03/17/2024","03/16/2025","","344 Cascadilla","","Crested Butte","CO","","81224","Active","Self-Managed","2",""
"3454","Erindale Professional Campus Condominium Associati","Kathy Thissen","HOA","29839","03/18/2015","03/19/2024","03/18/2025","","C/o Garfield & Hecht, P.c.","0070 Benchmark Rd., Unit 104","Avon","CO","","81620","Active","Self-Managed","2",""
"3549","Fairway Peaks Owners Association, Inc.","Clark L Davidson","HOA","28109","06/16/2011","07/17/2023","07/17/2024","","Redwoods Drive & Clubhouse Drive","","Steamboat Springs","CO","","80487","Active","Self-Managed","2","Davidson Tax Co., Inc."
"3634","Fellman Condominium Association, Inc.","Hal Stuart Dishler","HOA","26852","02/28/2011","08/02/2023","08/01/2024","","811 East Hopkins","","Aspen","CO","","81611","Active","Self-Managed","2",""
"4007","Gateway Building Three Condominium Owners Association","Susan Chrisman","HOA","51230","06/02/2016","06/24/2024","06/23/2025","Susan Chrisman","198 2nd Ave","2A","Niwot","CO","","80544","Active","Professionally Managed","2",""
"4152","Gold Peak Penthouses Condominium Association","Kristin Mcknight","HOA","55539","03/14/2022","03/15/2024","03/14/2025","Tracy Kinsella, Garfield & Hecht, P.C.","70 Benchmark Rd","","Avon","CO","","81620","Active","Professionally Managed","2","Mountain Legal Professionals, PC"
"4176","Golden West Towers Condominium Association, Inc.","John A Torres","HOA","56377","03/10/2023","03/11/2024","03/10/2025","Golden West","1055 Adams Cir","","Boulder","CO","","80303-1820","Active","Self-Managed","2","Golden West Communities, Inc."
"4777","Highland Meadows Professional Condominium Association","Diana Burry","HOA","51870","12/27/2016","12/28/2023","12/27/2024","","Highland Meadows Pkwy. & Spinnaker Bay Dr.","","Windsor","CO","","80528","Active","Professionally Managed","2","MSI, LLC"
"5617","Lake View Townhome Condominium Association, Inc.","Colleen Grosz","HOA","28773","03/14/2013","09/30/2023","09/29/2024","","211 Midland Avenue","","Aspen","CO","","81611","Active","Self-Managed","2",""
"5704","Landmark Lot 2 Retail Condominium Association, Inc.","Jordan Michelle Kincaid","HOA","52732","01/26/2018","01/27/2024","01/26/2025","East West Urban Management","1610 Little Raven Street Ste 125","","Denver","CO","","80202","Active","Professionally Managed","2","East West Urban Management"
"5788","Leslie Meadows Homeowers Assoceation","Daniel Pirrallo","HOA","28862","06/16/2013","07/28/2023","07/27/2024","","3211 Snoflake Cir","","Steamboat Springs","CO","","80487","Active","Self-Managed","2",""
"7798","Pinon Ridge Homeowners Association, Inc.","Donald Yale","HOA","25991","02/25/2011","09/23/2023","09/22/2024","","495 Cook St","","Denver","CO","","80206","Active","Self-Managed","2",""
"8141","Quail Lake Business Park Condominium Association","Amy Frey","HOA","24907","02/19/2011","01/07/2024","01/07/2025","","3720 Sinton Rd","#200","Colorado Springs","CO","","80907-5094","Active","Professionally Managed","2","RowCal Management CO"
"8142","Quail Lake Business Park Condominium Association","Amy Frey","HOA","24907","02/19/2011","01/07/2024","01/07/2025","","3720 Sinton Rd","#200","Colorado Springs","CO","","80907-5094","Active","Professionally Managed","2","RowCal Management CO LLC"
"8143","Quail Lake Business Park Condominium Association","Amy Frey","HOA","24907","02/19/2011","01/07/2024","01/07/2025","","3720 Sinton Rd","#200","Colorado Springs","CO","","80907-5094","Active","Professionally Managed","2","RowCal Management CO, LLC"
"8353","Reese Condominium Association LLC","Danielle Lynn","HOA","53439","05/01/2019","03/30/2024","03/29/2025","Danielle Lynn","423 Reese St","","Lyons","CO","","80540","Active","Self-Managed","2",""
"8506","River Club HOA","Larry Mallard","HOA","20828","01/10/2011","07/18/2023","07/17/2024","","550 W. Depot Ave","","Telluride","CO","","81435","Active","Professionally Managed","2",""
"8651","Rocky Mountain North Condo Association","Mark Robert Auble","HOA","55287","11/12/2021","11/13/2023","11/12/2024","2998 Ginnala Drive","Suite 102","","Loveland","CO","","80538","Active","Self-Managed","2","Range View Oral & Facial Surgery"
"9164","Silver Street Townhomes Condominium Association, Inc.","Cathy Sullivan-Duell","HOA","52612","11/16/2017","04/02/2024","04/01/2025","","801 E N Silver St","East Unit","Lake City","CO","","81235","Active","Self-Managed","2",""
"9721","Stepping Stones Condominium Association","Kyle Crawley","HOA","55915","08/29/2022","08/30/2023","08/29/2024","Stepping Stones Condominium Association","1154 Highway 133","","Carbondale","CO","","81623-1838","Active","Self-Managed","2",""
"12275","Tranquil Vale Condominium Association, Inc.","Joan Van Horn","HOA","21136","01/15/2011","01/05/2024","01/04/2025","","1431 South Saint Vrain Avenue","Units A & B","Estes Park","CO","","80517","Active","Self-Managed","2",""
"12294","Treetops Plaza & Garage Codominium Association","Steven Macdonald","HOA","24210","02/15/2011","01/20/2024","01/19/2025","","450 E. Lionshead Cr.","","Vail","CO","","81657","Active","Professionally Managed","2",""
"12556","Valley View Lodges Townhomes Owners Association","Robert A. Knutson","HOA","52484","09/15/2017","09/16/2023","09/15/2024","Valley View Townhomes","2480 Ski Trail Ln","","Steamboat Springs","CO","","80487-2035","Active","Professionally Managed","2","Northern Lights Management"
"13525","Wood Perfect Condominium Association, Inc","Greg Frauenhoff","HOA","29923","05/13/2015","06/12/2023","06/11/2024","Linda C Haltom","834 C St","","Salida","CO","","81201","Active","Self-Managed","2",""
